first_language_Turkish,first_language_Arabic,age,sex,years_spent_in_Germany,years_studied_at_school,Speaks_TR,Speaks_BUL,Speaks_RUS,Speaks_GER,Speaks_FR,Speaks_KUR,Speaks_POL,Speaks_AR,Speaks_AZ,Speaks_AR/SYR,Speaks_EN,Speaks_RUM,Speaks_BERB,Speaks_AR/MAR,Speaks_SP,Speaks_KAT,Writes_TR,Writes_BUL,Writes_GER,Writes_RUS,Writes_KUR,Writes_AR,Writes_EN,Writes_AZ,Writes_RUM,Writes_SP,Writes_KAT,Writes_FR,German_Context1,German_Context2,Gernan_Context3,German_Context4,Reading_L1,Writing_L1,Reading_L2,Writing_L2,Self-assessment_Reading_L1,Self-assessment_Reading_L2,Self-assessment_Writing_L1,Self-assessment_Writing_L2,spelling_words,spelling_features,ReadingL2_Text1,ReadingL2_Text2,ReadingL2_Text3,Mean
1,0,59,1,19,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,4,3,2,2,6,3.66,6,3.33,12,41,82,67,63,"70,67"
1,0,43,1,11,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,5,3,5,3,1,5.83,3.16,6,4.33,12,49,99,79,87,"88,33"
1,0,39,1,12,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,2,4.66,2.66,4,2.5,6,31,75,80,70,"75,00"
1,0,45,1,26,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,5,4,2,2,6,3.66,6,2.83,14,45,104,102,87,"97,67"
1,0,34,1,16,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,4,1,3,2,3,3,6,4.33,6,4.33,9,38,131,129,119,"126,33"
1,0,34,1,13,9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,3,1,3,4,4,3,6,3.33,6,3.83,13,43,92,71,75,"79,33"
1,0,43,1,25,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,3,3,5,3,5,2.83,20,59,141,104,142,"129,00"
1,0,54,1,15,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,2,1,6,3.33,6,2.33,12,45,72,67,69,"69,33"
1,0,60,1,40,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,3,0,1,2,2,2,6,3.16,6,2,5,34,92,79,87,"86,00"
1,0,69,1,38,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,1,1,4.33,2.83,5,2.83,4,29,20,31,25,"25,33"
