id,first language. Turkish,first language. Arabic,age,sex,years spent in Germany,years studied at school,Speaks_TR,Speaks_BUL,Speaks_RUS,Speaks_GER,Speaks_FR,Speaks_KUR,Speaks_POL,Speaks_AR,Speaks_AZ,Speaks_AR/SYR,Speaks_EN,Speaks_RUM,Speaks_BERB,Speaks_AR/MAR,Speaks_SP,Speaks_KAT,Writes_TR,Writes_BUL,Writes_GER,Writes_RUS,Writes_KUR,Writes_AR,Writes_EN,Writes_AZ,Writes_RUM,Writes_SP,Writes_KAT,Writes_FR,German. Context 1,German. Context 2,Gernan. Context 3,German. Context 4,Reading. L1,Writing. L1,Reading. L2,Writing. L2,Self-assessment. Reading. L1,Self-assessment. Reading. L2,Self-assessment. Writing. L1,Self-assessment. Writing. L2
1,1,0,59,1,19,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,4,3,2,2,6.00,3.66,6.00,3.33
2,1,0,70,1,52,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,2,5,1,1,6.00,5.66,6.00,4.50
3,1,0,43,1,11,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,5,3,5,3,1,5.83,3.16,6.00,4.33
4,1,0,37,1,8,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,4,1,0,3,5,3,5,5.83,4.00,5.66,4.83
5,1,0,39,1,12,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,2,4.66,2.66,4.00,2.50
6,1,0,45,1,26,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,5,4,2,2,6.00,3.66,6.00,2.83
7,1,0,34,1,16,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,4,1,3,2,3,3,6.00,4.33,6.00,4.33
8,1,0,34,1,13,9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,3,1,3,4,4,3,6.00,3.33,6.00,3.83
9,1,0,37,1,11,12,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,3,3,1,3,2,1,1,6.00,3.00,6.00,3.00
10,1,0,43,1,11,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,1,1,4,5,3,1,5.66,3.83,5.16,3.16
11,1,0,50,1,12,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,1,3,4,1,1,6.00,3.83,6.00,2.83
12,1,0,43,1,25,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,3,3,5.00,3.00,5.00,2.83
13,1,0,48,1,12,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1,3,3,3,1,6.00,3.33,4.66,2.00
14,1,0,54,1,15,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,2,1,6.00,3.33,6.00,2.33
15,1,0,40,1,24,11,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,4,5,5,5,4,4,6.00,4.83,5.66,4.83
16,1,0,47,1,33,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,5,3,4,3,6.00,3.83,6.00,5.00
17,1,0,49,1,29,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,1,1,6.00,3.00,6.00,2.50
18,1,0,53,1,12,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,1,2,6.00,3.00,5.33,3.00
19,1,0,54,1,12,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,4,1,3,3,4,4,6.00,3.83,5.66,3.33
20,1,0,60,1,40,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,3,0,1,2,2,2,6.00,3.16,6.00,2.00
21,1,0,69,1,38,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,1,1,4.33,2.83,5.00,2.83
22,1,0,39,1,10,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,1,1,2,2,6.00,5.82,6.00,5.17
23,1,0,56,1,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3,5,2,1,1,5.00,2.83,4.50,1.67
24,1,0,53,1,33,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,2,4,1,2,5.67,3.83,5.67,3.00
25,1,0,41,1,8,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,2,4,3,1,6.00,3.67,6.00,3.00
